회차,추첨일,1,2,3,4,5,6,보너스
869,2019.07.27,2.0,6.0,20.0,27.0,37.0,39.0,4
868,2019.07.20,12.0,17.0,28.0,41.0,43.0,44.0,25
867,2019.07.13,14.0,17.0,19.0,22.0,24.0,40.0,41
866,2019.07.06,9.0,15.0,29.0,34.0,37.0,39.0,12
865,2019.06.29,3.0,15.0,22.0,32.0,33.0,45.0,2
864,2019.06.22,3.0,7.0,10.0,13.0,25.0,36.0,32
863,2019.06.15,16.0,21.0,28.0,35.0,39.0,43.0,12
862,2019.06.08,10.0,34.0,38.0,40.0,42.0,43.0,32
861,2019.06.01,11.0,17.0,19.0,21.0,22.0,25.0,24
860,2019.05.25,4.0,8.0,18.0,25.0,27.0,32.0,42
859,2019.05.18,8.0,22.0,35.0,38.0,39.0,41.0,24
858,2019.05.11,9.0,13.0,32.0,38.0,39.0,43.0,23
857,2019.05.04,6.0,10.0,16.0,28.0,34.0,38.0,43
856,2019.04.27,10.0,24.0,40.0,41.0,43.0,44.0,17
855,2019.04.20,8.0,15.0,17.0,19.0,43.0,44.0,7
854,2019.04.13,20.0,25.0,31.0,32.0,36.0,43.0,3
853,2019.04.06,2.0,8.0,23.0,26.0,27.0,44.0,13
852,2019.03.30,11.0,17.0,28.0,30.0,33.0,35.0,9
851,2019.03.23,14.0,18.0,22.0,26.0,31.0,44.0,40
850,2019.03.16,16.0,20.0,24.0,28.0,36.0,39.0,5
849,2019.03.09,5.0,13.0,17.0,29.0,34.0,39.0,3
848,2019.03.02,1.0,2.0,16.0,22.0,38.0,39.0,34
847,2019.02.23,12.0,16.0,26.0,28.0,30.0,42.0,22
846,2019.02.16,5.0,18.0,30.0,41.0,43.0,45.0,13
845,2019.02.09,1.0,16.0,29.0,33.0,40.0,45.0,6
844,2019.02.02,7.0,8.0,13.0,15.0,33.0,45.0,18
843,2019.01.26,19.0,21.0,30.0,33.0,34.0,42.0,4
842,2019.01.19,14.0,26.0,32.0,36.0,39.0,42.0,38
841,2019.01.12,5.0,11.0,14.0,30.0,33.0,38.0,24
840,2019.01.05,2.0,4.0,11.0,28.0,29.0,43.0,27
839,2018.12.29,3.0,9.0,11.0,12.0,13.0,19.0,35
838,2018.12.22,9.0,14.0,17.0,33.0,36.0,38.0,20
837,2018.12.15,2.0,25.0,28.0,30.0,33.0,45.0,6
836,2018.12.08,1.0,9.0,11.0,14.0,26.0,28.0,19
